 Name dE dH dN
0 BL2-2016 -0.01 -0.03 -0.01
1 BL2-2018 0.0 0.02 -0.01
2 BL3-2016 -0.04 0.25 0.04
3 BL3-2018 0.03 -0.24 -0.04
4 BL4-2018 0.0 0.92 0.0
5 BL4-i-2016 0.0 -0.1 0.01
6 BL4-ii-2016 0.01 0.0 0.01
7 BL5-i-2017 0.03 0.01 0.0
8 BL5-ii-2017 0.01 0.05 0.0
9 T1-2018 -0.1 -0.16 0.06
10 T1-i-2017 0.02 -0.01 -0.01
11 T1-ii-2017 -0.12 -0.08 0.14
12 T2-2016 -0.33 0.24 -0.45
13 T2-2018 -0.13 -0.73 -0.14
14 T2-i-2017 0.01 -0.05 0.0
15 T2-ii-2017 0.07 0.51 0.55
16 T3-2017 0.01 -0.02 -0.01
17 T4-2016 -0.01 -0.02 0.0
18 T4-2018 -0.13 -0.69 -0.32
19 T5-2016 0.01 0.0 0.0
20 T5-2018 0.0 0.17 0.02
21 T6-2016 0.0 -0.01 0.01
22 T6-2018 -0.31 0.02 -0.45
23 T7-2015 0.0 1.84 0.0
24 T7-2017 0.02 -0.14 -0.04
25 T8-2017 0.01 -0.03 -0.01
