name filename date time inclination inc_dir distance_top antenna_height snow_depth elevation northing easting number_satellites distance_bottom comments new_distance new_direction dh_17_18 dh_16_18 dh_15_18
T1-i-2017 46250700 11.03.2018 11:45 9 180 0.15 2.2 0.8 342.4 8687106.51 528389.87 17-18 0.0    2.48  
T1-ii-2017 46250723 13.03.2018 13:50 10 180 0.17 2.15 0.8 340.498 8687104.861 528388.566 17 0.3    2.48  
T1-2018 46250722 13.03.2018 13:36 0 0 0.0 0.66 0.0 343.82 8687106.45 528388.09 14-15 0.0 rover-on-top 1.38 30°-to-W 0.0  
T2-2016 4625074G 15.03.2018 14:14 0 0 0.1 1.34 0.97 400.255 8687322.63 527951.494 18 0.10    1.66 3.98 
T2-i-2017 46250703 11.03.2018 12:38 10 90 0.10 2.23 1.0 393.06 8687321.16 527951.98 15-17 0.07 relation-to-2016 0.7 NE 1.66  
T2-ii-2017 46250727 13.03.2018 15:40 5 135 0.1 1.4 1.0 396.301 8687321.096 527952.023 19 0.15    1.66  
T2-2018 46250726 13.03.2018 15:12 5 225 0.0 0.66 0.0 391.964 8687318.615 527951.779 16 0.0 rover-on-top;relation-to-2016 1.5 S 0.0  
T3-2017 46250704 11.03.2018 13:00 0 0 0.1 1.87 1.05 428.93 8687273.68 527599.16 17 0.0    1.41  
T4-2016 46250706 11.03.2018 13:50 5 0 0.1 2.42 1.2 490.097 8687138.555 527125.087 16 0.19 missing-values-to-insert   0.86 2.45 
T4-2018 46250729 13.03.2018 16:10 0 0 0.0 0.63 0.0 490.097 8687138.558 527125.087 17-19 0.0 rover-on-top 1.6 40°-to-W-view-to-S 0.0  
T5-2016 46250707 11.03.2018 14:15 8 0 0.1 2.44 1.22 538.146 8686940.261 526691.931 17 0.22    0.76 1.93 
T5-2018 4625074H 15.03.2018 14:40 0 0 0.0 0.45 0.0 548.250 8686939.858 526689.565 9-12 0.0 rover-on-top 1.78 230°(-to-W) 0.0  
T6-2016 46250709 11.03.2018 14:45 4 180 0.15 2.3 1.35 568.051 8686676.52 526249.391 19 0.05    0.38 0.66 
T6-2018 4625074I 15.03.2018 15:07 0 0 0.0 1.95 1.40 559.772 8686673.788 526246.377 16 0.0 rover-on-top 3.7 250°(-WSW) 0.0  
T7-2015 46250725 13.03.2018 14:45 10 45 0.1 1.84 1.2 612.836 8686579.412 525858.639 18-19 0.25    0.30 1.36 1.32
T7-2017 46250725 13.03.2018 14:23 0 0 0.0 0.98 1.21 615.19 8686378.633 525858.641 20 0.0 rover-on-top 1.37 34°E-of-S 0.22  
T8-2017 4625070A 13.03.2018 15:20 5 180 0.1 2.09 0.7 650.45 8686471.63 525524.23 19 0.04    0.65  
BL2-2016 46250748 15.03.2018 10:50 3 225 0.18 2.18 1.10 441.448 8686150.914 523049.581 14 0.12    1.35 3.12 
BL2-2018 46250749 15.03.2018 11:08 2 270 0.0 0.6 0.0 439.596 8686149.181 523052.261 15-16 0.0 rover-on-top;missing-dist-to-old ? 82°-to-E 0.0  
BL3-2016 4625074A 15.03.2018 11:48 12 270 0.1 2.20 1.07 486.415 8686090.702 523545.650 16 0.15    1.07 2.35 
BL3-2018 4625074B 15.03.2018 15:04 0 0 0.0 0.6 0.0 485.58 8686090.05 523546.95 9-11 0.0 rover-on-top 1.35 90°(-to-E-view-N) 0.0  
BL4-i-2016 4625074D 15.03.2018 12:49 10 270 0.11 2.08 0.93 577.728 8686098.158 524180.496 14-15 0.22    0.81 1.75 
BL4-ii-2016 46250754 16.03.2018 11:25 10 270 0.2 1.25 1.25 575.124 8686099.462 524180.488 15 0.09    0.81 1.75 
BL4-2018 4625074D 15.03.2018 13:15 0 0 0.0 0.92 0.0 569.47 8686100.72 524179.05 12 0.0 rover-on-top 1.56 20°-E 0.0  
BL5-i-2017 4625074F 15.03.2018 13:47 0 0 1.1 1.32 1.10 631.399 8686132.093 524644.272 16-17 0.0 rover-on-top   0.14  
BL5-ii-2017 46250753 16.03.18 11:00 0 0 1.3 0.48 1.3 624.693 8686128.592 524645.346 15-17 0.0 rover-on-top   0.14  
