 Easting Elevation Northing
BL2-2016 523049.536322 439.061 8686150.51196
BL2-2018 523051.547047 437.757 8686149.27494
BL3-2016 523543.819185 493.215 8686092.71202
BL3-2018 523545.371 491.148 8686091.126
BL4-2018 524181.018 571.859 8686098.89
BL4-i-2016 524179.0633 573.411 8686099.66015
BL4-ii-2016 524179.334144 573.86 8686099.30004
BL5-i-2017 524644.296 630.837 8686129.639
BL5-ii-2017 524644.286 631.206 8686129.444
T1-2018 528388.32 341.427 8687106.613
T1-i-2017 528388.867688 342.845 8687105.34125
T1-ii-2017 528388.513153 342.898 8687105.05798
T2-2016 527951.547 397.061 8687320.858
T2-2018 527950.590352 395.134 8687319.67047
T2-i-2017 527951.911574 397.174 8687320.98529
T2-ii-2017 527951.289707 397.246 8687320.67617
T3-2017 527598.302 424.671 8687273.102
T4-2016 527123.961 489.183 8687141.51863
T4-2018 527124.774 487.254 8687137.403
T5-2016 526692.264 537.006 8686935.91686
T5-2018 526690.761 535.258 8686937.702
T6-2016 526248.191352 564.56 8686673.28696
T6-2018 526246.574 563.292 8686674.332
T7-2015 525859.204372 618.2 8686581.41805
T7-2017 525858.402 618.229 8686579.326
T8-2017 525522.182956 651.1 8686470.0339
