 Name Northing Easting
0 T1-2009 8687120.37398 528387.168071
1 T2-2009 8687321.61179 527952.453737
2 T3-2009 8687275.68693 527597.055129
3 T4-2009 8687137.64493 527128.344388
4 T5-2009 8686941.36253 526693.311804
5 T6-2009 8686667.95461 526240.001599
6 T7-2009 8686575.85685 525859.407106
7 T8-2009 8686468.25514 525527.014123
8 TA1-2009 8686371.8719 526066.207231
9 TA2-2009 8686432.60115 526358.51375
10 TB1-2009 8686807.37861 526757.11815
11 TB2-2009 8687053.34429 526642.734201
12 TC1-2009 8687020.35729 526077.861748
13 TC2-2009 8686912.34076 525930.10934
