 Name Northing Easting Elevation
0 T1-2011 8687107.23103 528388.989692 361.99
1 T2-2009 8687321.36555 527950.715111 412.1
2 T3-2009 8687274.94532 527596.488654 436.4
3 T4-2009 8687135.48085 527126.464096 498.57
4 T5-2009 8686941.39213 526693.133213 543.79
5 T6-2009 8686666.28859 526243.237781 572.12
6 T7-2009 8686575.85971 525859.235576 622.72
7 T8-2009 8686466.71616 525525.408634 660.16
8 TA1-2010 8686370.78111 526065.560097 601.79
9 TA2-2010 8686431.75118 526357.946878 583.69
10 TB1-2010 8686804.25351 526756.04687 550.48
11 TB2-2010 8687051.69132 526642.517094 539.48
12 TC1-2010 8687018.49602 526077.928685 602.89
13 TC2-2010 8686910.86348 525929.658141 602.58
14 BL1-2011 8686250.00303 522546.998714 394.58
15 BL3-2011 8686083.42029 523545.374996 501.78
16 BL5-2011 8686130.13476 524648.415385 634.79
