 Name Northing Easting Elevation
0 T1-2009 8687107.49087 528388.786018 357.761
1 T2-2009 8687321.05095 527950.777019 406.34
2 T3-2009 8687275.37098 527596.338998 434.424
3 T4-a2009 8687135.87097 527126.017995 496.064
4 T5-a2009 8686816.24386 526337.914991 568.859
5 T4-b2009 8686940.99581 526692.914993 540.982
6 T5-b2009 8686940.95393 526692.867404 541.077
7 T6-2012 8686665.74191 526242.828023 567.7
8 T6-2009 8686816.87875 526338.143008 568.869
9 T7-2009 8686575.22779 525860.750388 620.014
10 T8-2009 8686467.00799 525525.056019 655.792
11 TA1-2010 8686119.78343 503331.140054 600.452
12 TA2-2010 8686431.54682 526356.459018 582.611
13 TB1-2010 8686805.4019 526757.364986 544.421
14 TB2-2010 8687051.83875 526642.433028 535.547
15 TC1-2010 8687017.55575 526077.541975 599.932
16 TC2-2010 8686910.81392 525929.8993 599.66
17 BL1-2011 8686250.72484 522546.505019 391.586
18 BL2-2011 8686153.83174 523051.904012 446.427
19 BL3-2011 8686083.37572 523545.152011 499.336
20 BL4-2011 8686096.21793 524176.263443 575.93
21 BL5-2011 8686130.25373 524648.206277 633.321
