Name Northing Easting Elevation
TB1-2010 8686805.463 526757.273 543.252
TB2-2010 8687052.669 526642.492 534.781
LYRS 8683937.568 509048.138 495.682
T1-2009 8687108.068 528390.212 354.939
T2-2009 8687321.125 527950.846 403.995
T3-2012 8687274.653 527596.044 430.677
T4-2009 8687136.626 527126.261 493.945
T5-2009 8686941.447 526693.060 540.352
T6-2009 8686817.231 526338.036 567.202
T6-2013 8686666.332 526242.949 565.627
T7-2009 8686575.545 525860.274 618.438
T8-2009 8686467.017 525525.236 654.583
BL1-2012 8686251.136 522546.091 388.908
BL1cab 8686253.349 522547.588 384.065
BL3-2011 8686086.128 523544.729 496.252
BL5-2011 8686131.864 524648.799 627.115
BL2-2011 8686154.507 523051.719 444.379
BL4-2011 8686097.430 524175.987 575.578
TA1-2010 8686371.223 526065.462 598.928
TA2-2012 8686431.511 526356.586 580.879
TC1-2012 8687017.292 526077.736 598.047
TC2-2013 8686908.737 525930.745 597.448
Unknown_id 8686575.450 525860.230 618.422
Unknown_id2 8687274.656 527596.045 432.724
