Name Northing Easting Elevation
T1-2012 8687107.939 528391.913 357.837
T1-2014 8687109.148 528392.919 356.123
T2-2009 8687321.051 527950.999 403.195
T3-2012 8687274.568 527596.28 429.814
T4-2014 8687135.896 527126.214 491.51
T5-2012 8686942.021 526694.371 545.551
T6-2013 nan nan nan
T7-2009 8686580.234 525861.791 619.742
T8-2009 8686467.181 525525.035 654.513
TB1-2013 8686805.342 526757.344 542.412
TB2-2010 nan nan nan
TC1-2012 8687017.258 526077.985 597.706
TC2-2013 nan nan nan
TA1-2010 8686371.248 526065.821 598.962
TA2*-2012 8686431.567 526356.791 581.064
BL1-2012 nan nan nan
BL2-2012 8686153.911 523051.389 443.143
BL3-2011 8686083.721 523543.723 496.547
BL4-2012 8686096.155 524175.654 575.247
BL5-2011 8686130.2 524647.532 631.893
