 Name Northing Easting Elevation
0 BL1-2012 8686250.4985 522546.120691 
1 BL2-2011 8686464.00481 523045.68019 441.0
2 BL3-2011 8686083.60435 523543.721617 497.0
3 BL4-2012 8686096.17605 524175.648286 575.0
4 BL5-2012 8686130.25146 524647.146087 630.0
5 T1-2009 8687107.847 528391.944324 357.0
6 T1-2014 8687109.06385 528390.845 350.0
7 T2-2009 8687320.8262 527950.809331 400.0
8 T3-2012 8687274.65855 527596.240599 427.0
9 T4-2014 8687136.61778 527126.420576 490.0
10 T5-2009 8686942.13981 526694.389506 546.0
11 T6-2013 8686660.29417 526243.057846 
12 T7-2009 8686580.26953 525861.772906 620.0
13 T8-2009 8686467.10199 525525.042152 655.0
14 TA1-2010 8686371.54279 526065.694123 597.0
15 TA2-2012 8686431.54056 526356.784761 581.0
16 TB1-2010 8686805.42356 526757.377938 540.0
17 TB2-2010 8687052.10476 526642.493233 
18 TC1-2012 8686909.55899 525988.852767 590.0
19 TC2-2013 8686908.73407 525930.714864 
