Name Northing Easting Elevation Direction Date
T1-2015 8687108.470 528390.675 347.332 260.8730938709 
T2-2015 8687323.499 527951.769 399.183 168.6900675125 
T3-2015 8687274.375 527592.008 426.569 199.6920212807 17.03.2016
T7-2015 8686580.618 525857.688 617.308 146.509220863 14.03.2016
T8-2015 8686471.785 525524.074 660.510 103.1725533646 
TA1-2010 8686371.949 526065.610 596.796 341.9276776893 
TB1-2012 8686805.486 526757.476 539.560 123.8111996691 
TC1-2012 8686910.416 525989.741 590.908 44.4360180855 
BL3-2015 8686089.305 523544.063 493.560 238.3444510564 17.03.2016
BL5-2011 8686130.364 524646.709 629.877 252.2779284883 17.03.2016
T1-2016 8687105.990 528389.642 347.332 nan 19.03.2016
T2-2016 8687320.943 527951.462 399.183 nan 19.03.2016
T4-2016 8687138.730 527123.630 489.652 nan 19.03.2016
T6-2016 8686674.731 526250.138 562.905 nan 20.03.2016
T8-2016 8686471.023 525523.516 651.600 nan 14.03.2016
BL1-2016 8686150.534 523049.704 440.361 nan 
BL3-2016 8686091.337 523544.634 493.533 nan 19.03.2016
BL2-2016 8686150.534 523049.704 440.361 nan 19.03.2016
BL4-2016 8686098.490 524179.641 573.205 nan 20.03.2016
T5-2016 8686938.721 526692.094 536.895 nan 19.03.2016
