Name Northing Easting Elevation "Date "
T1-2016 8687106.04 528389.72 343.86 04.03.17
T2-2016 8687320.88 527951.46 396.82 04.03.17
T4-2016 8687138.60 527124.10 487.90 04.03.17
T5-2016 8686938.68 526692.17 535.66 02.03.17
T6-2016 8686674.20 526250.30 559.45 02.03.17
T7-2015 8686580.07 525857.72 616.38 02.03.17
T8-2016 8686470.97 525523.37 650.58 02.03.17
BL5-2011 8686130.11 524646.20 629.17 08.03.17
BL4-2016 8686098.49 524179.73 572.22 04.03.17
BL3-2016 8686091.40 523544.40 492.16 04.03.17
BL3-2015 8686090.18 523543.47 496.13 04.03.17
BL2-2016 8686150.63 523049.61 438.51 03.03.17
T1-2017 8687105.210 528388.661 344.731 08.03.2017
T2-2017 8687321.399 527951.094 396.981 08.03.2017
T3-2017 8687273.211 527598.268 424.008 08.03.2017
T7-2017 8686578.289 525859.155 617.421 09.03.2017
T8-2017 8686471.275 525523.743 650.302 09.03.2017
BL5-2017 8686131.365 524645.901 629.386 09.03.2017
