 Name Latitude Longitude
0 T1-2016 78.2547759104 16.2494087768
1 T2-2016 78.2567836985 16.230325905
2 T4-2016 78.2553042986 16.1937552347
3 T5-2016 78.2535916324 16.1745743044
4 T6-2016 78.2513010792 16.1549056105
5 T7-2015 78.2505267019 16.1375576883
6 T8-2016 78.2496071676 16.1227602823
7 BL5-2011 78.2467016732 16.0839055102
8 BL4-2016 78.2464950715 16.0633702027
9 BL3-2016 78.2465336276 16.0354303377
10 BL3-2015 78.2465228452 16.035388498
11 BL2-2016 78.2471418802 16.0137201836
12 T1-2017 78.2547686777 16.2493614058
13 T2-2017 78.2567884168 16.23031028
14 T3-2017 78.2564227721 16.214740667
15 T7-2017 78.2505104967 16.137619279
16 T8-2017 78.2496098359 16.1227769436
17 BL5-2017 78.2467129661 16.0838933858
