Name Northing Easting Elevation sN sE sH
T1-i-2017 8687105.3666600529 528388.68285199348 344.25952259125762 0.039182508930261033 0.0078686386528469057 0.10543416092637858
T1-ii-2017 8687105.2426488604 528388.8370613202 344.32854878989701 0.43474035919335308 0.38958016569592901 0.64692482859384526
T1-2018 8687106.552799806 528388.41630650987 342.25356012083847 0.32150354098916273 0.072995624864465466 0.23802824376514103
T2-2016 8687321.4098486807 527951.88187559508 397.18865259365589 0.41466332406453371 0.14255953149559028 2.3399347419282237
T2-i-2017 8687321.4689683393 527951.1415105093 398.45037961466721 0.20768412737511716 0.21023515138387738 0.33739121700096392
T2-ii-2017 8687320.9291434605 527951.15347985912 397.13571654959594 1.3084963948965209 0.24037498791761458 1.2544330929895606
T2-2018 8687319.581220815 527951.31064840127 396.52147891005001 0.2804801364430462 0.27286636264541048 1.6131833720838109
T3-2017 8687273.205238156 527598.28900794161 425.5056907588995 0.020125066080306821 0.010926506117113145 0.051111964595430451
T4-2016 8687138.9720422868 527123.96950971126 490.42251841631901 0.45046805597697748 0.31800025110933594 1.0638740375105507
T4-2018 8687137.7191598173 527124.89571504435 488.56937132056044 1.0482800882241607 0.3651354971753768 2.3307281643597224
T5-2016 8686938.890814703 526692.25389322883 538.22656842084905 0.55041540570338265 0.15098829439097111 0.71342179827658325
T5-2018 8686937.6810463835 526690.75902267022 535.54112014147154 0.20403397300160336 0.21400873656892033 0.44883990516719657
T6-2016 8686674.9045108166 526250.17141444387 565.5151614263907 0.48767683360849179 0.19403612048940341 0.89244499410512901
T6-2018 8686674.7836262044 526246.8805277606 563.82271808712437 0.46701193968147936 0.38682692844671712 0.78871069157685225
T7-2015 8686580.735 525857.936 617.0 0.2 0.2 0.70605715595608365
T7-2017 8686579.3676067106 525858.38031702908 618.13587868560182 0.1708275352749937 0.039156402686527959 0.70605715595608365
T8-2017 8686471.3723547254 525523.81725101592 652.51957367495083 0.46468183898623561 0.09217582116214737 1.0227038834540501
BL2-2016 8686150.7955395486 523049.28530755022 440.16616321024094 0.11951549519978806 0.044600045053816366 0.47543731014731538
BL2-2018 8686149.8151186798 523051.44693014369 438.34013609975568 0.0047703952431857382 0.0034458355393016597 0.016041300277611418
BL3-2016 8686091.6103712637 523544.0670083955 494.09167462188674 0.048015001485252874 0.040690233609213165 0.24684184386476546
BL3-2018 8686091.1715606656 523545.3384863282 491.9887326024953 0.41664489149130779 0.096597214934953657 1.0292826064072791
BL4-i-2016 8686098.5846510325 524179.27475870226 574.65933921326496 0.16709015212860456 0.14773298819529132 0.19250493748182723
BL4-ii-2016 8686098.5877744108 524179.48905507091 573.85592133968669 1.2890679227218056 0.29815200288752486 4.8191664351981967
BL4-2018 8686098.89 524181.018 571.859 0.2 0.2 0.19250493748182723
BL5-i-2017 8686130.7402239777 524644.27013838803 631.04733418762078 0.018611292350904453 0.013620011172590979 0.065962223955593868
BL5-ii-2017 8686130.7440016121 524644.27760966041 630.33790733628598 0.27292139931011067 0.14782926448544231 0.75043171233092176
