Name Northing Easting Elevation sN sE sH
T1-i-2017 8687105.4245131724 528388.73884829693 344.35539538190756 0.1370953322416488 0.10187496793322541 0.5505501827649133
T1-ii-2017 8687105.3678060211 528388.59318040416 344.28392050482444 0.14492352504222997 0.11104210326160502 0.50016878554832456
T1-2018 8687106.7506698593 528388.52727964835 342.24024829007453 0.082573916772963454 0.07394991112894729 0.4993568000752534
T2-2016 8687321.034678705 527951.51339942869 397.29952630125894 0.155438131872984 0.065042287343583374 0.28776183649464288
T2-i-2017 8687321.579062447 527951.12993024557 398.33849237622974 0.27093080562877386 0.11171785496581686 0.26114626999628426
T2-ii-2017 8687321.5433883257 527951.15218744229 397.66103434848986 0.25855100544652609 0.13933312076050025 0.17730207918559138
T2-2018 8687319.8226376753 527950.58098974545 395.78825439523996 0.32749442857128774 0.17269937707170663 0.8072789375189926
T3-2017 8687273.2869147062 527598.30749950628 425.50966737976506 0.098245054547677235 0.23013179331701467 0.36393665131094277
T4-2016 8687138.9854051676 527123.96591948485 490.20928834458147 0.12362324523243645 0.22533005490018801 1.0712353720402055
T4-2018 8687137.5092267785 527124.77846757835 487.97257514195519 0.3115300633139656 0.11682736340567933 0.20587130586338706
T5-2016 8686938.9076893367 526692.21670379897 538.229104306556 0.1480002212283594 0.11425027963932928 0.69941258171332354
T5-2018 8686938.0579205379 526692.00143589173 537.28353558258516 0.11329855009469975 0.21719410434853939 0.59402435831101963
T6-2016 8686675.0107302424 526250.00402670074 565.54319341956727 0.06614488684323544 0.090618793630361669 0.32293318957309641
T6-2018 8686674.4373391028 526246.45246710512 564.00511773293658 0.11149646283999322 0.13086287868277682 0.45657667620066317
T7-2015 8686578.7773977406 525856.37287530198 619.57920816790227 0.4739518342805828 1.2000041658346767 1.2976556203677168
T7-2017 8686578.7773977406 525856.37287530198 619.57920816790227 0.4739518342805828 1.2000041658346767 1.2976556203677168
T8-2017 8686471.4732641205 525523.81402287504 652.50523133621869 0.1386814281901092 0.1619913039890222 0.71986546028956933
BL2-2016 8686150.7518083658 523049.26334422722 440.10864506353516 0.17903047607872297 0.052315439392986982 0.51986155450329674
BL2-2018 8686151.7746513542 523053.06066397682 443.58137749793349 0.42859407219445167 0.28575884105875843 1.1689711977807959
BL3-2016 8686091.7803807184 523544.60675794916 494.49365768708844 0.13310169578391601 0.24533616081526871 0.63780349809693015
BL3-2018 8686091.776586825 523545.38992302906 489.82269832776115 0.23194178561669812 0.13358597370030068 0.73750993580702107
BL4-i-2016 8686098.7575659659 524179.23138230533 574.52119789690164 0.2444698000134882 0.27809468482227051 0.5755814861430627
BL4-ii-2016 8686098.6574804913 524179.64004239638 573.96705440098901 0.1754011252641183 0.11167350119931302 0.25129250860844182
BL4-2018 8686098.7575659659 524179.23138230533 574.52119789690164 0.2444698000134882 0.27809468482227051 0.5755814861430627
BL5-i-2017 8686130.8340675756 524644.19105874957 631.00757504546209 0.15876320347491368 0.11535203525041934 0.41508395986550173
BL5-ii-2017 8686130.7183126956 524644.34265739517 630.4633395912349 0.13653031835311447 0.14341782201276138 0.33651519800332469
