 Name Easting Elevation Northing sE sH sN
0 BL2-2016 523049.41 436.89 8686150.74 0.11 0.48 0.16
1 BL2-2018 523051.47 437.74 8686149.82 0.03 0.06 0.02
2 BL3-2016 523544.75 490.82 8686091.51 0.13 0.25 0.27
3 BL3-2018 523545.34 491.39 8686091.17 0.1 1.03 0.42
4 BL4-2018 524181.02 570.94 8686098.89 0.2 0.2 0.21
5 BL4-i-2016 524179.8 571.65 8686098.47 0.19 0.2 0.27
6 BL4-ii-2016 524179.92 571.36 8686098.39 0.31 4.82 1.3
7 BL5-i-2017 524644.27 628.63 8686130.74 0.01 0.09 0.09
8 BL5-ii-2017 524644.28 628.56 8686130.74 0.15 0.75 0.28
9 T1-2018 528388.42 341.59 8687106.55 0.07 0.24 0.32
10 T1-i-2017 528388.68 341.26 8687105.69 0.18 0.12 0.13
11 T1-ii-2017 528388.84 341.38 8687105.58 0.44 0.65 0.45
12 T2-2016 527951.88 394.88 8687321.31 0.14 2.34 0.42
13 T2-2018 527951.35 395.86 8687319.62 0.27 1.61 0.28
14 T2-i-2017 527950.58 395.22 8687321.37 0.25 0.34 0.3
15 T2-ii-2017 527951.01 394.74 8687320.98 0.26 1.26 1.31
16 T3-2017 527598.29 422.59 8687273.11 0.01 0.07 0.12
17 T4-2016 527123.97 486.8 8687138.56 0.34 1.07 0.47
18 T4-2018 527124.9 487.94 8687137.72 0.37 2.33 1.05
19 T5-2016 526692.25 534.57 8686938.28 0.25 0.72 0.57
20 T5-2018 526690.76 535.09 8686937.68 0.21 0.45 0.21
21 T6-2016 526250.17 561.87 8686675.01 0.22 0.89 0.51
22 T6-2018 526246.88 560.47 8686674.78 0.39 0.79 0.48
23 T7-2015 525857.56 613.96 8686580.26 0.26 0.71 0.26
24 T7-2017 525858.38 615.95 8686579.37 0.04 0.71 0.19
25 T8-2017 525523.82 649.73 8686471.52 0.13 1.02 0.48
