 Name Easting_15 Easting_16 Easting_17 Northing_15 Northing_16 Northing_17 sE_ref_15 sE_ref_16 sE_ref_17 sN_ref_15 sN_ref_16 sN_ref_17
0 BL2-2016  523049.29 523049.36  8686150.62 8686150.69  0.08 0.09  0.14 0.15
1 BL2-2018   523051.47   8686149.82   0.03   0.02
2 BL3-2016  523544.26 523544.52  8686091.51 8686091.51  0.06 0.12  0.09 0.19
3 BL3-2018   523545.34   8686091.17   0.1   0.42
4 BL4-2018   524181.02   8686098.89   0.2   0.21
5 BL4-i-2016  524179.49 524179.66  8686098.47 8686098.47  0.17 0.19  0.19 0.23
6 BL4-ii-2016  524179.62 524179.78  8686098.39 8686098.39  0.3 0.31  1.29 1.29
7 BL5-i-2017   524644.27   8686130.74   0.01   0.09
8 BL5-ii-2017   524644.28   8686130.74   0.15   0.28
9 T1-2018   528388.42   8687106.55   0.07   0.32
10 T1-i-2017   528388.68   8687105.3   0.03   0.07
11 T1-ii-2017   528388.84   8687105.15   0.39   0.44
12 T2-2016  527951.88 527951.88  8687321.31 8687321.31  0.14 0.14  0.46 0.42
13 T2-2018   527951.35   8687319.62   0.27   0.28
14 T2-i-2017   527950.87   8687321.37   0.23   0.23
15 T2-ii-2017   527951.11   8687320.87   0.24   1.31
16 T3-2017   527598.29   8687273.11   0.01   0.09
17 T4-2016  527123.97 527123.97  8687138.77 8687138.63  0.32 0.33  0.46 0.47
18 T4-2018   527124.9   8687137.72   0.37   1.05
19 T5-2016  526692.25 526692.25  8686938.55 8686938.39  0.18 0.22  0.56 0.57
20 T5-2018   526690.76   8686937.68   0.21   0.21
21 T6-2016  526250.17 526250.17  8686674.96 8686674.98  0.21 0.21  0.51 0.51
22 T6-2018   526246.88   8686674.78   0.39   0.48
23 T7-2015 525857.72 525857.73 525857.6 8686580.42 8686580.43 8686580.3 0.23 0.23 0.25 0.23 0.23 0.25
24 T7-2017   525858.38   8686579.37   0.04   0.19
25 T8-2017   525523.82   8686471.46   0.12   0.48
