Name Northing Easting Elevation
T1-i-2017 8687105.363 528388.696 342.045
T1-ii-2017 8687105.381 528388.718 342.098
T2-i-2017 8687321.468 527951.148 396.174
T2-ii-2017 8687321.483 527951.227 396.246
T3-2017 8687273.202 527598.302 423.621
T4-2016 8687138.972 527123.961 487.983
T5-2016 8686938.886 526692.264 535.786
T6-2016 8686674.918 526250.174 563.210
T8-2017 8686471.362 525523.827 650.400
T1-2018 8687106.613 528388.320 341.427
T2-2018 8687319.438 527951.179 395.134
T4-2018 8687137.403 527124.774 487.254
T7-2017 8686579.326 525858.402 617.019
T7-2015 8686580.735 525857.936 617.000
T2-2016 8687320.958 527951.547 396.091
T5-2018 8686937.702 526690.761 535.258
T6-2018 8686674.332 526246.574 561.892
BL2-2016 8686150.792 523049.283 437.961
BL2-2018 8686149.812 523051.451 437.757
BL3-2016 8686091.650 523544.027 492.145
BL3-2018 8686091.126 523545.371 491.148
BL4-i-2016 8686098.592 524179.274 572.481
BL4-2018 8686098.890 524181.018 571.859
BL4-ii-2016 8686098.595 524179.496 572.610
BL5-i-2017 8686130.739 524644.296 629.737
BL5-ii-2017 8686130.744 524644.286 629.906
