 Name Easting Elevation Northing
0 BL2-2016 523049.4 436.86 8686150.73
1 BL2-2018 523051.47 437.76 8686149.81
2 BL3-2016 523544.71 491.07 8686091.55
3 BL3-2018 523545.37 491.15 8686091.13
4 BL4-2018 524181.02 571.86 8686098.89
5 BL4-i-2016 524179.8 571.55 8686098.48
6 BL4-ii-2016 524179.93 571.36 8686098.4
7 BL5-i-2017 524644.3 628.64 8686129.64
8 BL5-ii-2017 524644.29 628.61 8686129.44
9 T1-2018 528388.32 341.43 8687106.61
10 T1-i-2017 528388.7 341.25 8687105.68
11 T1-ii-2017 528388.72 341.3 8687105.72
12 T2-2016 527951.55 395.12 8687320.86
13 T2-2018 527951.22 395.13 8687319.48
14 T2-i-2017 527950.59 395.17 8687321.37
15 T2-ii-2017 527951.08 395.25 8687321.53
16 T3-2017 527598.3 422.57 8687273.1
17 T4-2016 527123.96 486.78 8687138.56
18 T4-2018 527124.77 487.25 8687137.4
19 T5-2016 526692.26 534.57 8686938.28
20 T5-2018 526690.76 535.26 8686937.7
21 T6-2016 526250.17 561.86 8686675.02
22 T6-2018 526246.57 560.49 8686674.33
23 T7-2015 525857.56 615.8 8686580.26
24 T7-2017 525858.4 615.81 8686579.33
25 T8-2017 525523.83 649.7 8686471.51
