Name Northing Easting Elevation 
T4-2016 8687138.60 527124.10 487.90
T5-2016 8686938.68 526692.17 535.66
T6-2016 8686674.20 526250.30 559.45
BL4-2016 8686098.49 524179.73 572.22
BL3-2016 8686091.40 523544.40 492.16 
BL2-2016 8686150.63 523049.61 438.51
T1-2017 8687105.210 528388.661 344.731
T2-2017 8687321.399 527951.094 396.981
T3-2017 8687273.211 527598.268 424.008
T7-2017 8686578.289 525859.155 617.421
T8-2017 8686471.275 525523.743 650.302
BL5-2017 8686131.365 524645.901 629.386
TA1-2010 8686371.949 526065.610 596.796
TB1-2012 8686805.486 526757.476 539.560
TC1-2012 8686910.416 525989.741 590.908
BL1-2016 8686150.534 523049.704 440.361
TA2-2012 8686431.54056 526356.784761 581.0
TB2-2010 8687052.10476 526642.493233
TC2-2013 8686908.73407 525930.714864
