 Name Error_15 Error_16 Error_17 Velocity_15 Velocity_16 Velocity_17
0 BL2-2016  0.202626933372 0.207007085606  0.211419015141 0.257099202331
1 BL3-2016  0.184062279739 0.19973255719  0.206037010913 0.162788205555
2 BL4-i-2016  0.253178033125 0.264613638063  0.0761593723482 0.0728010987767
3 BL4-ii-2016  0.475004997946 0.562336553727  0.0510906056086 0.111803398563
4 BL5-i-2017   0.182046284866   1.74664993636
5 BL5-ii-2017   0.237647787968   1.73731574567
6 T1-i-2017   0.103866282873   0.0919836940795
7 T1-ii-2017   0.434695735794   0.188788241329
8 T2-2016  0.201155436257 0.234797563726  0.278124522633 0.601082356902
9 T2-i-2017   0.297392816604   0.225869431487
10 T2-ii-2017   0.510228931709   0.529241911687
11 T3-2017   0.115716201881   0.103368275303
12 T4-2016  0.370532892772 0.381750109525  0.171172427618 0.133416640914
13 T5-2016  0.220952977112 0.328720691179  0.115733530165 0.300832178257
14 T6-2016  0.185964443298 0.306994849857  0.115612499473 0.790759130115
15 T7-2015 0.118851360004 0.114053582488 0.199916135053 0.557069814249 0.815427494458 1.18406080984
16 T7-2017   0.162004553107   1.33010751466
17 T8-2017   0.235934739875   0.200384630604
